Y(Restart:logt=2.500000)
316.22776601682244 0.05239154234290901 6.061711466586429E30 0.2 5.0E-9 0.0 1.2843413406586059E30
n  z  Y
26  27  7.3348825299333095E-9
27  27  6.2134599820545525E-9
28  27  4.940192043165013E-7
29  27  4.283095507143932E-7
30  27  2.876917406997073E-7
31  27  4.5585973748808145E-8
22  28  1.7003359246297882E-26
23  28  9.757168488245115E-17
24  28  3.3951851712090025E-17
25  28  2.2905376040683545E-14
26  28  4.1895343762109544E-11
27  28  7.095247075581456E-11
28  28  1.2410943653251063E-8
29  28  2.7868359841831935E-9
30  28  9.657168583183473E-7
31  28  2.2806688038402074E-7
32  28  1.7670175415260764E-9
33  28  9.081842690708285E-11
34  28  7.2911202452952846E-9
24  29  2.950415372808239E-48
25  29  3.650397103835369E-34
26  29  2.5601240407397218E-27
27  29  2.1483037405789845E-13
28  29  2.5604343677172097E-11
29  29  2.4393163174575855E-9
30  29  1.814267608142741E-6
31  29  4.409185068218572E-7
32  29  2.3324044493229117E-7
33  29  6.337514907018416E-7
34  29  9.90887638906841E-9
25  30  5.1437743749527193E-39
26  30  6.573428796172364E-32
27  30  6.404397127708171E-17
28  30  1.5372201894396506E-14
29  30  4.183740225994727E-12
30  30  4.3151359463989095E-6
31  30  1.9409275195023214E-6
32  30  2.638073392429969E-10
33  30  1.3396137505940633E-6
34  30  4.033552345950227E-7
35  30  5.157972480635423E-8
36  30  1.3634584312552546E-9
25  31  3.364701208185626E-83
26  31  8.725393525543299E-76
27  31  2.778809481344397E-45
28  31  1.4156625278637725E-37
29  31  6.310624042899053E-23
30  31  5.633499301524639E-10
31  31  8.391607083526957E-10
32  31  1.272633799895892E-7
33  31  6.5869370464246815E-6
34  31  6.372822872535952E-6
35  31  4.188813215060731E-6
36  31  9.265569950696681E-8
28  32  1.0127679543816196E-42
29  32  3.0410399908041226E-27
30  32  3.0665301549206765E-14
31  32  4.082402145346953E-13
32  32  1.523059637667679E-5
33  32  1.0496755745003612E-5
34  32  1.3941693882135405E-10
35  32  7.68311943426596E-6
36  32  6.44031569492238E-6
28  33  4.602887593398786E-85
29  33  3.604110928442874E-57
30  33  3.0101189711850087E-36
31  33  5.3800241668691403E-20
32  33  5.815459940035746E-10
33  33  6.71643054246088E-10
34  33  2.457176283555076E-7
35  33  9.080287502612597E-5
36  33  3.506339199416894E-5
37  33  2.2309794630877008E-7
31  34  1.1696278521964807E-25
32  34  3.6043722817427044E-14
33  34  1.9944587650345575E-14
34  34  3.8401015581481093E-4
35  34  4.207158654854773E-5
36  34  3.138567803597748E-5
37  34  2.0113506445738366E-5
38  34  6.23220401136522E-5
31  35  1.945952682239526E-52
32  35  1.7077485930999218E-36
33  35  1.4037829096126414E-22
34  35  7.1912279968056894E-9
35  35  5.692825581145531E-10
36  35  1.2810824671375836E-5
37  35  3.043619720124416E-4
38  35  9.194410373197704E-5
39  35  2.9464452712809213E-6
31  36  1.0584822528518436E-44
32  36  5.423642575701278E-43
33  36  6.758742740085733E-29
34  36  1.4552609837007714E-14
35  36  4.602177039389855E-15
36  36  1.1230897426020151E-4
37  36  6.456422455424425E-5
38  36  9.221792205972792E-5
39  36  7.399401007796721E-5
40  36  9.995366043362056E-5
31  37  3.478571183806804E-95
32  37  4.831120233034642E-90
33  37  4.68309030841943E-58
34  37  5.414180158989012E-41
35  37  1.4442349293654057E-30
36  37  2.1298131953125945E-12
37  37  2.3215466662629108E-10
38  37  2.3234322670256757E-5
39  37  1.2394842487197097E-4
40  37  2.1434680045670778E-4
34  38  4.3020819206243464E-48
35  38  5.567287839649469E-32
36  38  2.1059019105772097E-17
37  38  4.381168022539869E-12
38  38  7.910000157217098E-7
39  38  1.0679685794573338E-5
40  38  1.861870333442137E-4
41  38  1.7646978486603795E-4
34  39  2.363000345131078E-89
35  39  1.4074733446010694E-59
36  39  4.050475665450336E-42
37  39  4.07347930157777E-24
38  39  9.442149013508481E-14
39  39  7.13128075352354E-11
40  39  1.3154182853608581E-8
41  39  0.00794582863808522
