-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.330587e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.141995e+01 -1.405378e+01 -1.242096e+01 -2.000000e+00 -3.924361e+00 -2.414052e+00 -2.305777e+00 -5.844951e+00 -3.974445e+00 -4.760234e+00 -1.402834e+00 -6.520470e-01 -3.104864e-01 -8.676697e-01 -1.990731e+00 -2.405489e+00 -2.201313e+00 -3.984304e+00 -6.647326e+00 -9.554791e+00  -1.300132e+01 -1.711633e+01 -2.114192e+01 -1.679819e+01
-1.119912e+01 -1.381447e+01 -1.220017e+01 -2.000000e+00 -3.700678e+00 -2.297162e+00 -2.226348e+00 -5.690337e+00 -3.899945e+00 -4.679356e+00 -1.226777e+00 -7.861342e-01 -3.058585e-01 -9.555180e-01 -1.798506e+00 -1.914744e+00 -1.657038e+00 -3.244726e+00 -5.328589e+00 -7.803875e+00  -1.089330e+01 -1.435446e+01 -1.762346e+01 -1.334759e+01
-1.097988e+01 -1.402243e+01 -1.198027e+01 -2.000000e+00 -3.512845e+00 -2.182952e+00 -2.471705e+00 -5.778015e+00 -4.083057e+00 -4.927630e+00 -1.060659e+00 -9.380867e-01 -3.019266e-01 -1.266910e+00 -1.650786e+00 -1.511776e+00 -1.386035e+00 -2.850152e+00 -4.266289e+00 -6.567281e+00  -9.088692e+00 -1.179958e+01 -1.427881e+01 -1.010017e+01
-1.075999e+01 -1.402243e+01 -1.176023e+01 -2.000000e+00 -3.460323e+00 -2.105149e+00 -3.060204e+00 -6.047469e+00 -4.469256e+00 -5.426426e+00 -9.640527e-01 -1.096228e+00 -3.136363e-01 -1.825432e+00 -1.594180e+00 -1.170827e+00 -1.341679e+00 -2.565630e+00 -3.633879e+00 -5.745992e+00  -7.595630e+00 -9.600832e+00 -1.129347e+01 -7.402854e+00
-1.053976e+01 -1.379364e+01 -1.154000e+01 -2.000000e+00 -3.505816e+00 -2.081441e+00 -3.552510e+00 -6.311335e+00 -4.693529e+00 -5.798206e+00 -9.150757e-01 -1.245126e+00 -3.441443e-01 -2.248272e+00 -1.618282e+00 -9.409241e-01 -1.367502e+00 -2.354501e+00 -3.254608e+00 -5.285522e+00  -6.651888e+00 -8.053805e+00 -9.069263e+00 -5.580947e+00
-1.031999e+01 -1.361061e+01 -1.132021e+01 -2.000000e+00 -3.579700e+00 -2.066972e+00 -3.840708e+00 -6.584858e+00 -4.786310e+00 -6.015564e+00 -8.865837e-01 -1.369457e+00 -3.920827e-01 -2.462134e+00 -1.697550e+00 -8.045376e-01 -1.316723e+00 -2.200578e+00 -2.954997e+00 -4.955287e+00  -6.078200e+00 -7.051092e+00 -7.550418e+00 -4.458644e+00
-1.009994e+01 -1.356485e+01 -1.110009e+01 -2.000000e+00 -3.664335e+00 -2.042792e+00 -4.056210e+00 -6.880708e+00 -4.849359e+00 -6.181969e+00 -8.689332e-01 -1.463853e+00 -4.639364e-01 -2.593954e+00 -1.813193e+00 -7.093646e-01 -1.216520e+00 -2.045048e+00 -2.691683e+00 -4.657219e+00  -5.645620e+00 -6.331556e+00 -6.490866e+00 -3.731446e+00
-9.879929e+00 -1.356485e+01 -1.088002e+01 -2.000000e+00 -3.742442e+00 -2.012102e+00 -4.245603e+00 -7.151345e+00 -4.926201e+00 -6.323235e+00 -8.561068e-01 -1.540440e+00 -5.724210e-01 -2.701569e+00 -1.931922e+00 -6.263632e-01 -1.115062e+00 -1.900778e+00 -2.472746e+00 -4.407459e+00  -5.297093e+00 -5.760408e+00 -5.722000e+00 -3.198574e+00
-9.659963e+00 -1.351909e+01 -1.066002e+01 -2.000000e+00 -3.814523e+00 -1.980304e+00 -4.451927e+00 -7.388504e+00 -5.049262e+00 -6.467250e+00 -8.476084e-01 -1.624424e+00 -7.366719e-01 -2.829596e+00 -2.028530e+00 -5.510402e-01 -1.026059e+00 -1.777068e+00 -2.291897e+00 -4.201452e+00  -4.995232e+00 -5.267763e+00 -5.127392e+00 -2.769809e+00
-9.439989e+00 -1.351909e+01 -1.044003e+01 -2.000000e+00 -3.879650e+00 -1.950108e+00 -4.700862e+00 -7.603969e+00 -5.245210e+00 -6.632875e+00 -8.444150e-01 -1.739808e+00 -9.811502e-01 -3.005947e+00 -2.102115e+00 -4.892695e-01 -9.575699e-01 -1.683158e+00 -2.154973e+00 -4.045056e+00  -4.721675e+00 -4.834185e+00 -4.649274e+00 -2.413010e+00
-9.219988e+00 -1.347334e+01 -1.022001e+01 -2.000000e+00 -3.931860e+00 -1.922293e+00 -4.988872e+00 -7.794057e+00 -5.527394e+00 -6.807092e+00 -8.451818e-01 -1.905855e+00 -1.327683e+00 -3.230351e+00 -2.147304e+00 -4.488835e-01 -9.164223e-01 -1.627694e+00 -2.073838e+00 -3.949297e+00  -4.479357e+00 -4.469665e+00 -4.267573e+00 -2.120645e+00
